,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
36,741047.0,0.38,42352429,both,741047.0,1.0,42352429,both,0.62,1.631578947368421,"POLYGON ((24.686587084816846 60.133239202144246, 24.686429545181806 60.135482141358914, 24.69092638112686 60.13556064936901, 24.69108361521955 60.133317703073494, 24.686587084816846 60.133239202144246))"
37,741114.0,3.57,42700793,both,741114.0,5.0,42700793,both,1.4300000000000002,0.40056022408963593,"POLYGON ((24.987907435396828 60.138161318129036, 24.987770378895245 60.14040470138963, 24.99226877887191 60.14047298163782, 24.992405529481857 60.13822959221699, 24.987907435396828 60.138161318129036))"
38,743738.0,0.84,43098101,both,743738.0,1.0,43098101,both,0.16000000000000003,0.19047619047619052,"POLYGON ((24.645959151940342 60.13476870254774, 24.645798837253547 60.13701157639359, 24.65029575210601 60.13709146493273, 24.650455761252747 60.13484858388148, 24.645959151940342 60.13476870254774))"
39,743740.0,3.18,42349636,both,743740.0,4.0,42349636,both,0.8199999999999998,0.25786163522012573,"POLYGON ((24.654952395939834 60.13492831263051, 24.654792692338823 60.13717120087344, 24.659289657903653 60.13725078421402, 24.65944905595328 60.13500788879315, 24.654952395939834 60.13492831263051))"
40,743741.0,6.3999999999999995,42350084,both,743741.0,9.0,42350084,both,2.6000000000000005,0.4062500000000001,"POLYGON ((24.65944905595328 60.13500788879315, 24.659289657903653 60.13725078421402, 24.663786648752183 60.13733021495274, 24.663945741244778 60.135087312367645, 24.65944905595328 60.13500788879315))"
41,743742.0,3.67,42353433,both,743742.0,4.0,42353433,both,0.33000000000000007,0.08991825613079021,"POLYGON ((24.663945741244778 60.135087312367645, 24.663786648752183 60.13733021495274, 24.66828366483607 60.137409493087944, 24.668442451766005 60.13516658335235, 24.663945741244778 60.135087312367645))"
42,743743.0,22.7,42352122,both,743743.0,26.0,42352122,both,3.3000000000000007,0.1453744493392071,"POLYGON ((24.668442451766005 60.13516658335235, 24.66828366483607 60.137409493087944, 24.672780706106995 60.137488618617866, 24.672939187468646 60.13524570174551, 24.668442451766005 60.13516658335235))"
43,743744.0,6.12,42355018,both,743744.0,7.0,42355018,both,0.8799999999999999,0.1437908496732026,"POLYGON ((24.672939187468646 60.13524570174551, 24.672780706106995 60.137488618617866, 24.677277772516625 60.137567591540815, 24.67743594830437 60.13532466754546, 24.672939187468646 60.13524570174551))"
44,743745.0,5.23,42969651,both,743745.0,6.0,42969651,both,0.7699999999999996,0.14722753346080297,"POLYGON ((24.67743594830437 60.13532466754546, 24.677277772516625 60.137567591540815, 24.68177486401662 60.13764641185516, 24.68193273422487 60.13540348075048, 24.67743594830437 60.13532466754546))"
45,743813.0,2.85,42701192,both,743813.0,4.0,42701192,both,1.15,0.40350877192982454,"POLYGON ((24.98327200066519 60.14033626843741, 24.9831346164818 60.14257964456913, 24.987633300647065 60.142648083696166, 24.987770378895245 60.14040470138963, 24.98327200066519 60.14033626843741))"
46,746437.0,1.88,42376200,both,746437.0,2.0,42376200,both,0.1200000000000001,0.06382978723404262,"POLYGON ((24.641301947829753 60.13693153525775, 24.64114130213158 60.13917440086032, 24.645638497138084 60.13925444921629, 24.645798837253547 60.13701157639359, 24.641301947829753 60.13693153525775))"
47,746440.0,11.99,42515650,both,746440.0,13.0,42515650,both,1.0099999999999998,0.0842368640533778,"POLYGON ((24.654792692338823 60.13717120087344, 24.654632963405795 60.139414088095165, 24.659130234570334 60.13949367861466, 24.659289657903653 60.13725078421402, 24.654792692338823 60.13717120087344))"
48,746441.0,10.52,42357074,both,746441.0,15.0,42357074,both,4.48,0.4258555133079848,"POLYGON ((24.659289657903653 60.13725078421402, 24.659130234570334 60.13949367861466, 24.66362753102422 60.139573116518584, 24.663786648752183 60.13733021495274, 24.659289657903653 60.13725078421402))"
49,746442.0,6.390000000000001,42359094,both,746442.0,9.0,42359094,both,2.6099999999999994,0.408450704225352,"POLYGON ((24.663786648752183 60.13733021495274, 24.66362753102422 60.139573116518584, 24.668124852719103 60.139652401805236, 24.66828366483607 60.137409493087944, 24.663786648752183 60.13733021495274))"
50,746443.0,63.910000000000004,42360312,both,746443.0,80.0,42360312,both,16.089999999999996,0.25176028790486615,"POLYGON ((24.66828366483607 60.137409493087944, 24.668124852719103 60.139652401805236, 24.672622199606646 60.139731534472865, 24.672780706106995 60.137488618617866, 24.66828366483607 60.137409493087944))"
51,746444.0,26.24,42360011,both,746444.0,30.0,42360011,both,3.7600000000000016,0.14329268292682934,"POLYGON ((24.672780706106995 60.137488618617866, 24.672622199606646 60.139731534472865, 24.677119571638507 60.13981051451986, 24.677277772516625 60.137567591540815, 24.672780706106995 60.137488618617866))"
52,746445.0,2.54,42362074,both,746445.0,3.0,42362074,both,0.45999999999999996,0.1811023622047244,"POLYGON ((24.677277772516625 60.137567591540815, 24.677119571638507 60.13981051451986, 24.681616968766342 60.13988934194445, 24.68177486401662 60.13764641185516, 24.677277772516625 60.137567591540815))"
53,746446.0,0.83,42362107,both,746446.0,1.0,42362107,both,0.17000000000000004,0.20481927710843378,"POLYGON ((24.68177486401662 60.13764641185516, 24.681616968766342 60.13988934194445, 24.6861143909418 60.13996801674497, 24.68627198055865 60.13772507955915, 24.68177486401662 60.13764641185516))"
54,746512.0,11.18,42615859,both,746512.0,14.0,42615859,both,2.8200000000000003,0.25223613595706623,"POLYGON ((24.978635954116434 60.14251105272579, 24.978498242154362 60.1447544217132, 24.982997210498503 60.144823019745964, 24.9831346164818 60.14257964456913, 24.978635954116434 60.14251105272579))"
55,746513.0,9.37,43139781,both,746513.0,13.0,43139781,both,3.630000000000001,0.3874066168623267,"POLYGON ((24.9831346164818 60.14257964456913, 24.982997210498503 60.144823019745964, 24.98749620064742 60.14489146504867, 24.987633300647065 60.142648083696166, 24.9831346164818 60.14257964456913))"
56,746514.0,18.86,42688200,both,746514.0,29.0,42688200,both,10.14,0.5376458112407212,"POLYGON ((24.987633300647065 60.142648083696166, 24.98749620064742 60.14489146504867, 24.991995212552656 60.144959757619894, 24.992132006563793 60.14271637010546, 24.987633300647065 60.142648083696166))"
57,746523.0,3.24,42633947,both,746523.0,4.0,42633947,both,0.7599999999999998,0.23456790123456783,"POLYGON ((25.028122431136712 60.14325716336492, 25.027988085207344 60.14550059967948, 25.03248729073886 60.145567517601386, 25.03262133063646 60.14332407524871, 25.028122431136712 60.14325716336492))"
58,746524.0,5.49,42894001,both,746524.0,7.0,42894001,both,1.5099999999999998,0.27504553734061926,"POLYGON ((25.03262133063646 60.14332407524871, 25.03248729073886 60.145567517601386, 25.036986517542093 60.14563428277722, 25.03712025140317 60.14339083440021, 25.03262133063646 60.14332407524871))"
59,749137.0,17.259999999999998,42362262,both,749137.0,20.0,42362262,both,2.740000000000002,0.15874855156431067,"POLYGON ((24.64114130213158 60.13917440086032, 24.64098063095073 60.14141726543872, 24.64547813158827 60.14149732101578, 24.645638497138084 60.13925444921629, 24.64114130213158 60.13917440086032))"
60,749138.0,9.290000000000001,42362604,both,749138.0,13.0,42362604,both,3.709999999999999,0.39935414424111937,"POLYGON ((24.645638497138084 60.13925444921629, 24.64547813158827 60.14149732101578, 24.649975657665838 60.14157722396866, 24.650135717578934 60.1393343449618, 24.645638497138084 60.13925444921629))"
61,749139.0,6.6000000000000005,42365750,both,749139.0,9.0,42365750,both,2.3999999999999995,0.36363636363636354,"POLYGON ((24.650135717578934 60.1393343449618, 24.649975657665838 60.14157722396866, 24.654473209135087 60.14165697429566, 24.654632963405795 60.139414088095165, 24.650135717578934 60.1393343449618))"
