,absolute_change,percentage_change,CO2 kg emissions diff,geometry,origid_id_YKR_1,"CO2 emissions, gramms_1",origid_id_YKR_2,"CO2 emissions, gramms_2"
27,-3139.764523,-0.337419145,-3.139764523,"POLYGON ((24.669236008806926 60.123952019400804, 24.669077347727843 60.126194934227506, 24.673572861640444 60.126274024083315, 24.673731217392735 60.12403110212471, 24.669236008806926 60.123952019400804))",730243,9305.235265,730243,6165.470742
28,-17129.11447,-0.310421411,-17.12911447,"POLYGON ((24.673731217392735 60.12403110212471, 24.673572861640444 60.126274024083315, 24.67806840066369 60.12635296140083, 24.678226451083592 60.12411003232402, 24.673731217392735 60.12403110212471))",730244,55180.1965,730244,38051.08203
29,-2987.462616,-0.251615345,-2.987462616,"POLYGON ((24.678226451083592 60.12411003232402, 24.67806840066369 60.12635296140083, 24.68256396474932 60.12643174617831, 24.682721709831235 60.12418880999704, 24.678226451083592 60.12411003232402))",730245,11873.13361,730245,8885.670998
30,-1089.121782,-0.424390786,-1.089121782,"POLYGON ((24.700702994424166 60.12450239539244, 24.70054647074992 60.1267453598544, 24.70504215942316 60.12682338190651, 24.705198377731616 60.12458041040872, 24.700702994424166 60.12450239539244))",730250,2566.318164,730250,1477.196382
31,-6610.219259,-0.302183469,-6.610219259,"POLYGON ((24.705198377731616 60.12458041040872, 24.70504215942316 60.12682338190651, 24.709537872869063 60.12690125140853, 24.70969378580619 60.124658272888595, 24.705198377731616 60.12458041040872))",730251,21874.85399,730251,15264.63473
32,-885.5118896,-0.086743523,-0.88551189,"POLYGON ((24.70969378580619 60.124658272888595, 24.709537872869063 60.12690125140853, 24.714033611039337 60.126978968358785, 24.71418921859962 60.12473598283045, 24.70969378580619 60.124658272888595))",730252,10208.39206,730252,9322.88017
33,-776.0110635,-0.457705394,-0.776011063,"POLYGON ((24.71418921859962 60.12473598283045, 24.714033611039337 60.126978968358785, 24.718529373885683 60.127056532755596, 24.718684676063617 60.124813540232545, 24.71418921859962 60.12473598283045))",730253,1695.437881,730253,919.426817
34,-1553.696971,-0.193327878,-1.553696971,"POLYGON ((24.727675664810175 60.12496819741095, 24.72752097341342 60.12721120388218, 24.73201680999822 60.12728831060867, 24.73217119599616 60.12504529718393, 24.727675664810175 60.12496819741095))",730256,8036.590434,730256,6482.893462
35,-8752.054548,-0.264740711,-8.752054548,"POLYGON ((24.66458185897418 60.126115691835054, 24.664422867366714 60.128358598496995, 24.668918661489826 60.12843784803606, 24.669077347727843 60.126194934227506, 24.66458185897418 60.126115691835054))",732942,33058.96748,732942,24306.91293
36,-2465.166274,-0.13516636,-2.465166274,"POLYGON ((24.669077347727843 60.126194934227506, 24.668918661489826 60.12843784803606, 24.67341448077749 60.128516945024764, 24.673572861640444 60.126274024083315, 24.669077347727843 60.126194934227506))",732943,18238.01621,732943,15772.84994
37,-21166.78454,-0.165821709,-21.16678454,"POLYGON ((24.673572861640444 60.126274024083315, 24.67341448077749 60.128516945024764, 24.677910325181415 60.12859588946142, 24.67806840066369 60.12635296140083, 24.673572861640444 60.126274024083315))",732944,127647.8496,732944,106481.0651
38,-43509.62307,-0.229399759,-43.50962307,"POLYGON ((24.67806840066369 60.12635296140083, 24.677910325181415 60.12859588946142, 24.68240619465331 60.12867468134435, 24.68256396474932 60.12643174617831, 24.67806840066369 60.12635296140083))",732945,189667.2574,732945,146157.6343
39,-6674.757651,-0.184573623,-6.674757651,"POLYGON ((24.68256396474932 60.12643174617831, 24.68240619465331 60.12867468134435, 24.686902089144883 60.128753320671834, 24.687059553849043 60.1265103784141, 24.68256396474932 60.12643174617831))",732946,36163.11771,732946,29488.36006
40,3088.03425,3.032693406,3.08803425,"POLYGON ((24.687059553849043 60.1265103784141, 24.686902089144883 60.128753320671834, 24.69139800860784 60.12883180744221, 24.691555167914572 60.1265888581065, 24.687059553849043 60.1265103784141))",732947,1018.248084,732947,4106.282334
41,-2730.107559,-0.499851293,-2.730107559,"POLYGON ((24.696050806897624 60.12666718525384, 24.695893952993885 60.128910141653805, 24.700389922254722 60.12898832330492, 24.70054647074992 60.1267453598544, 24.696050806897624 60.12666718525384))",732949,5461.839544,732949,2731.731986
42,-5837.626816,-0.228846366,-5.837626816,"POLYGON ((24.70054647074992 60.1267453598544, 24.700389922254722 60.12898832330492, 24.70488591634205 60.12906635239385, 24.70504215942316 60.12682338190651, 24.70054647074992 60.1267453598544))",732950,25508.93388,732950,19671.30707
43,-2535.667083,-0.252341987,-2.535667083,"POLYGON ((24.709537872869063 60.12690125140853, 24.709381935207567 60.12914422891896, 24.713877978802977 60.129221952878574, 24.714033611039337 60.126978968358785, 24.709537872869063 60.12690125140853))",732952,10048.53418,732952,7512.867094
44,-5292.64316,-0.479554979,-5.29264316,"POLYGON ((24.714033611039337 60.126978968358785, 24.713877978802977 60.129221952878574, 24.718374047079966 60.129299524271005, 24.718529373885683 60.127056532755596, 24.714033611039337 60.126978968358785))",732953,11036.57223,732953,5743.929069
45,-773.6399667,-0.08363144,-0.773639967,"POLYGON ((24.718529373885683 60.127056532755596, 24.718374047079966 60.129299524271005, 24.72287013999024 60.12937694309463, 24.72302516135981 60.127133944597276, 24.718529373885683 60.127056532755596))",732954,9250.58763,732954,8476.947664
46,-2031.173232,-0.273187048,-2.031173232,"POLYGON ((24.73201680999822 60.12728831060867, 24.73186239951739 60.129531323028665, 24.73635856603765 60.129608284135806, 24.7365126710659 60.12736526477509, 24.73201680999822 60.12728831060867))",732957,7435.100766,732957,5403.927534
47,-876.2939181,-0.518393212,-0.876293918,"POLYGON ((24.65992709845644 60.1282791964093, 24.65976777622403 60.13052209489074, 24.664263850546412 60.13060150413975, 24.664422867366714 60.128358598496995, 24.65992709845644 60.1282791964093))",735641,1690.403922,735641,814.1100038
48,2311.161601,0.055989176,2.311161601,"POLYGON ((24.664422867366714 60.128358598496995, 24.664263850546412 60.13060150413975, 24.668759950087264 60.130680760826365, 24.668918661489826 60.12843784803606, 24.664422867366714 60.128358598496995))",735642,41278.72144,735642,43589.88304
49,-16489.02722,-0.328893049,-16.48902722,"POLYGON ((24.668918661489826 60.12843784803606, 24.668759950087264 60.130680760826365, 24.67325607479828 60.13075986494893, 24.67341448077749 60.128516945024764, 24.668918661489826 60.12843784803606))",735643,50134.92162,735643,33645.8944
50,-17105.28004,-0.196398709,-17.10528004,"POLYGON ((24.677910325181415 60.12859588946142, 24.67775222463117 60.13083881650571, 24.682248399537624 60.13091761549505, 24.68240619465331 60.12867468134435, 24.677910325181415 60.12859588946142))",735645,87094.6662,735645,69989.38616
51,-12409.12103,-0.32588282,-12.40912103,"POLYGON ((24.68240619465331 60.12867468134435, 24.682248399537624 60.13091761549505, 24.686744599469346 60.130996261915215, 24.686902089144883 60.128753320671834, 24.68240619465331 60.12867468134435))",735646,38078.47572,735646,25669.35468
52,-2857.748871,-0.618276941,-2.857748871,"POLYGON ((24.700389922254722 60.12898832330492, 24.700233348933033 60.131231285743965, 24.704729648482747 60.13130932187067, 24.70488591634205 60.12906635239385, 24.700389922254722 60.12898832330492))",735650,4622.117831,735650,1764.368959
53,-5475.741206,-0.183267852,-5.475741206,"POLYGON ((24.70488591634205 60.12906635239385, 24.704729648482747 60.13130932187067, 24.70922597281618 60.13138720541984, 24.709381935207567 60.12914422891896, 24.70488591634205 60.12906635239385))",735651,29878.35097,735651,24402.60976
54,-3487.819167,-0.301794818,-3.487819167,"POLYGON ((24.709381935207567 60.12914422891896, 24.70922597281618 60.13138720541984, 24.71372232188503 60.131464936389776, 24.713877978802977 60.129221952878574, 24.709381935207567 60.12914422891896))",735652,11556.92197,735652,8069.102805
55,-836.136007,-0.132285004,-0.836136007,"POLYGON ((24.718374047079966 60.129299524271005, 24.718218695640974 60.13154251477879, 24.722715094035696 60.13161994058526, 24.72287013999024 60.12937694309463, 24.718374047079966 60.129299524271005))",735654,6320.716512,735654,5484.580505
56,-353.4279978,-0.06770223,-0.353427998,"POLYGON ((24.65976777622403 60.13052209489074, 24.65960842872486 60.13276499235203, 24.664104808507645 60.13284440876331, 24.664263850546412 60.13060150413975, 24.65976777622403 60.13052209489074))",738341,5220.330197,738341,4866.902199
57,-5020.837323,-0.576369833,-5.020837323,"POLYGON ((24.664263850546412 60.13060150413975, 24.664104808507645 60.13284440876331, 24.66860121351453 60.132923672598466, 24.668759950087264 60.130680760826365, 24.664263850546412 60.13060150413975))",738342,8711.138286,738342,3690.300963
58,-6485.402841,-0.199031815,-6.485402841,"POLYGON ((24.668759950087264 60.130680760826365, 24.66860121351453 60.132923672598466, 24.673097643697204 60.133002783855844, 24.67325607479828 60.13075986494893, 24.668759950087264 60.130680760826365))",738343,32584.75454,738343,26099.3517
59,1767.238953,0.145163993,1.767238953,"POLYGON ((24.67325607479828 60.13075986494893, 24.673097643697204 60.133002783855844, 24.677594099007354 60.133081742533726, 24.67775222463117 60.13083881650571, 24.67325607479828 60.13075986494893))",738344,12174.08612,738344,13941.32507
60,-18720.77868,-0.263317432,-18.72077868,"POLYGON ((24.67775222463117 60.13083881650571, 24.677594099007354 60.133081742533726, 24.682090579396675 60.13316054863043, 24.682248399537624 60.13091761549505, 24.67775222463117 60.13083881650571))",738345,71095.85773,738345,52375.07905
61,-2408.735794,-0.262991239,-2.408735794,"POLYGON ((24.682248399537624 60.13091761549505, 24.682090579396675 60.13316054863043, 24.686587084816846 60.133239202144246, 24.686744599469346 60.130996261915215, 24.682248399537624 60.13091761549505))",738346,9158.996326,738346,6750.260532
62,849.42501,1.030131796,0.84942501,"POLYGON ((24.691240824378024 60.131074755764544, 24.69108361521955 60.133317703073494, 24.69558017055648 60.13339605141647, 24.695737074215355 60.13115309704136, 24.691240824378024 60.131074755764544))",738348,824.578965,738348,1674.003975
63,-867.5884129,-0.416524849,-0.867588413,"POLYGON ((24.704729648482747 60.13130932187067, 24.70457335583972 60.13355229033697, 24.709069985689386 60.13363018091115, 24.70922597281618 60.13138720541984, 24.704729648482747 60.13130932187067))",738351,2082.92114,738351,1215.332727
64,-456.5263252,-0.071615312,-0.456526325,"POLYGON ((24.722715094035696 60.13161994058526, 24.722560023490693 60.13386293706917, 24.72705675201414 60.1339402172615, 24.727211517020883 60.13169721380749, 24.722715094035696 60.13161994058526))",738355,6374.702695,738355,5918.17637
65,-1846.503341,-0.239506523,-1.846503341,"POLYGON ((24.727211517020883 60.13169721380749, 24.72705675201414 60.1339402172615, 24.73155350508521 60.13401734485418, 24.73170796454821 60.13177433444384, 24.727211517020883 60.13169721380749))",738356,7709.616096,738356,5863.112755
66,-444.1618338,-0.024252729,-0.444161834,"POLYGON ((24.65960842872486 60.13276499235203, 24.65944905595328 60.13500788879315, 24.663945741244778 60.135087312367645, 24.664104808507645 60.13284440876331, 24.65960842872486 60.13276499235203))",741041,18313.89072,741041,17869.72888
67,-30223.52026,-0.317131896,-30.22352026,"POLYGON ((24.664104808507645 60.13284440876331, 24.663945741244778 60.135087312367645, 24.668442451766005 60.13516658335235, 24.66860121351453 60.132923672598466, 24.664104808507645 60.13284440876331))",741042,95302.68207,741042,65079.16181
68,-1391.119939,-0.039572357,-1.391119939,"POLYGON ((24.66860121351453 60.132923672598466, 24.668442451766005 60.13516658335235, 24.672939187468646 60.13524570174551, 24.673097643697204 60.133002783855844, 24.66860121351453 60.132923672598466))",741043,35153.83048,741043,33762.71054
69,-4794.217192,-0.479003186,-4.794217192,"POLYGON ((24.673097643697204 60.133002783855844, 24.672939187468646 60.13524570174551, 24.67743594830437 60.13532466754546, 24.677594099007354 60.133081742533726, 24.673097643697204 60.133002783855844))",741044,10008.73759,741044,5214.520393
70,-18573.10952,-0.431714771,-18.57310952,"POLYGON ((24.677594099007354 60.133081742533726, 24.67743594830437 60.13532466754546, 24.68193273422487 60.13540348075048, 24.682090579396675 60.13316054863043, 24.677594099007354 60.133081742533726))",741045,43021.71422,741045,24448.6047
71,-10346.16882,-0.157614825,-10.34616882,"POLYGON ((24.682090579396675 60.13316054863043, 24.68193273422487 60.13540348075048, 24.686429545181806 60.135482141358914, 24.686587084816846 60.133239202144246, 24.682090579396675 60.13316054863043))",741046,65642.10432,741046,55295.9355
72,-11640.23894,-0.293477039,-11.64023894,"POLYGON ((24.686587084816846 60.133239202144246, 24.686429545181806 60.135482141358914, 24.69092638112686 60.13556064936901, 24.69108361521955 60.133317703073494, 24.686587084816846 60.133239202144246))",741047,39663.20158,741047,28022.96264
73,-1965.88337,-0.449971278,-1.96588337,"POLYGON ((24.987907435396828 60.138161318129036, 24.987770378895245 60.14040470138963, 24.99226877887191 60.14047298163782, 24.992405529481857 60.13822959221699, 24.987907435396828 60.138161318129036))",741114,4368.908566,741114,2403.025195
74,453.303291,1.881886546,0.453303291,"POLYGON ((24.645959151940342 60.13476870254774, 24.645798837253547 60.13701157639359, 24.65029575210601 60.13709146493273, 24.650455761252747 60.13484858388148, 24.645959151940342 60.13476870254774))",743738,240.877056,743738,694.180347
75,-535.2601853,-0.07523198,-0.535260185,"POLYGON ((24.650455761252747 60.13484858388148, 24.65029575210601 60.13709146493273, 24.654792692338823 60.13717120087344, 24.654952395939834 60.13492831263051, 24.650455761252747 60.13484858388148))",743739,7114.795976,743739,6579.535791
76,-5627.020114,-0.13920252,-5.627020114,"POLYGON ((24.654952395939834 60.13492831263051, 24.654792692338823 60.13717120087344, 24.659289657903653 60.13725078421402, 24.65944905595328 60.13500788879315, 24.654952395939834 60.13492831263051))",743740,40423.26317,743740,34796.24305
77,-27887.22202,-0.258627932,-27.88722202,"POLYGON ((24.65944905595328 60.13500788879315, 24.659289657903653 60.13725078421402, 24.663786648752183 60.13733021495274, 24.663945741244778 60.135087312367645, 24.65944905595328 60.13500788879315))",743741,107827.5724,743741,79940.35038
78,-42015.80396,-0.265890017,-42.01580396,"POLYGON ((24.663945741244778 60.135087312367645, 24.663786648752183 60.13733021495274, 24.66828366483607 60.137409493087944, 24.668442451766005 60.13516658335235, 24.663945741244778 60.135087312367645))",743742,158019.4867,743742,116003.6827
79,-56170.84342,-0.205976092,-56.17084342,"POLYGON ((24.668442451766005 60.13516658335235, 24.66828366483607 60.137409493087944, 24.672780706106995 60.137488618617866, 24.672939187468646 60.13524570174551, 24.668442451766005 60.13516658335235))",743743,272705.6473,743743,216534.8039
80,-39268.58329,-0.219452624,-39.26858329,"POLYGON ((24.672939187468646 60.13524570174551, 24.672780706106995 60.137488618617866, 24.677277772516625 60.137567591540815, 24.67743594830437 60.13532466754546, 24.672939187468646 60.13524570174551))",743744,178938.7727,743744,139670.1894
81,-12338.82879,-0.254459214,-12.33882879,"POLYGON ((24.67743594830437 60.13532466754546, 24.677277772516625 60.137567591540815, 24.68177486401662 60.13764641185516, 24.68193273422487 60.13540348075048, 24.67743594830437 60.13532466754546))",743745,48490.39884,743745,36151.57004
82,-827.3675913,-0.239489776,-0.827367591,"POLYGON ((24.68193273422487 60.13540348075048, 24.68177486401662 60.13764641185516, 24.68627198055865 60.13772507955915, 24.686429545181806 60.135482141358914, 24.68193273422487 60.13540348075048))",743746,3454.709443,743746,2627.341852
83,-4717.331674,-0.243719324,-4.717331674,"POLYGON ((24.686429545181806 60.135482141358914, 24.68627198055865 60.13772507955915, 24.69076912209438 60.137803594651096, 24.69092638112686 60.13556064936901, 24.686429545181806 60.135482141358914))",743747,19355.59152,743747,14638.25984
84,-1573.485466,-0.324723247,-1.573485466,"POLYGON ((24.98327200066519 60.14033626843741, 24.9831346164818 60.14257964456913, 24.987633300647065 60.142648083696166, 24.987770378895245 60.14040470138963, 24.98327200066519 60.14033626843741))",743813,4845.620015,743813,3272.134549
85,-250.3272333,-0.164705882,-0.250327233,"POLYGON ((24.987770378895245 60.14040470138963, 24.987633300647065 60.142648083696166, 24.992132006563793 60.14271637010546, 24.99226877887191 60.14047298163782, 24.987770378895245 60.14040470138963))",743814,1519.843916,743814,1269.516683
86,1060.345041,0.477826048,1.060345041,"POLYGON ((24.636805083882944 60.13685134152692, 24.636644132607763 60.13909419989563, 24.64114130213158 60.13917440086032, 24.641301947829753 60.13693153525775, 24.636805083882944 60.13685134152692))",746436,2219.102634,746436,3279.447675
87,-11953.75886,-0.270861375,-11.95375886,"POLYGON ((24.641301947829753 60.13693153525775, 24.64114130213158 60.13917440086032, 24.645638497138084 60.13925444921629, 24.645798837253547 60.13701157639359, 24.641301947829753 60.13693153525775))",746437,44132.38639,746437,32178.62753
88,1428.754721,0.838534346,1.428754721,"POLYGON ((24.645798837253547 60.13701157639359, 24.645638497138084 60.13925444921629, 24.650135717578934 60.1393343449618, 24.65029575210601 60.13709146493273, 24.645798837253547 60.13701157639359))",746438,1703.871437,746438,3132.626159
89,26.73045464,0.002664143,0.026730455,"POLYGON ((24.65029575210601 60.13709146493273, 24.650135717578934 60.1393343449618, 24.654632963405795 60.139414088095165, 24.654792692338823 60.13717120087344, 24.65029575210601 60.13709146493273))",746439,10033.41662,746439,10060.14707
90,-16073.90307,-0.322511792,-16.07390307,"POLYGON ((24.654792692338823 60.13717120087344, 24.654632963405795 60.139414088095165, 24.659130234570334 60.13949367861466, 24.659289657903653 60.13725078421402, 24.654792692338823 60.13717120087344))",746440,49839.73758,746440,33765.83451
91,-28370.33768,-0.156372602,-28.37033768,"POLYGON ((24.659289657903653 60.13725078421402, 24.659130234570334 60.13949367861466, 24.66362753102422 60.139573116518584, 24.663786648752183 60.13733021495274, 24.659289657903653 60.13725078421402))",746441,181427.8028,746441,153057.4651
92,-33010.79459,-0.17082651,-33.01079459,"POLYGON ((24.663786648752183 60.13733021495274, 24.66362753102422 60.139573116518584, 24.668124852719103 60.139652401805236, 24.66828366483607 60.137409493087944, 24.663786648752183 60.13733021495274))",746442,193241.6381,746442,160230.8435
93,-18927.35132,-0.238370957,-18.92735132,"POLYGON ((24.66828366483607 60.137409493087944, 24.668124852719103 60.139652401805236, 24.672622199606646 60.139731534472865, 24.672780706106995 60.137488618617866, 24.66828366483607 60.137409493087944))",746443,79402.9254,746443,60475.57408
94,-19374.91638,-0.125144983,-19.37491638,"POLYGON ((24.672780706106995 60.137488618617866, 24.672622199606646 60.139731534472865, 24.677119571638507 60.13981051451986, 24.677277772516625 60.137567591540815, 24.672780706106995 60.137488618617866))",746444,154819.7615,746444,135444.8451
95,-20759.48997,-0.281682426,-20.75948997,"POLYGON ((24.677277772516625 60.137567591540815, 24.677119571638507 60.13981051451986, 24.681616968766342 60.13988934194445, 24.68177486401662 60.13764641185516, 24.677277772516625 60.137567591540815))",746445,73698.20784,746445,52938.71787
96,-5873.691528,-0.181767369,-5.873691528,"POLYGON ((24.68177486401662 60.13764641185516, 24.681616968766342 60.13988934194445, 24.6861143909418 60.13996801674497, 24.68627198055865 60.13772507955915, 24.68177486401662 60.13764641185516))",746446,32314.33428,746446,26440.64276
97,-2705.895486,-1.2278033,-2.705895486,"POLYGON ((24.72224980860733 60.13834892701683, 24.722094664257988 60.14059192048048, 24.72659230968624 60.14066922158872, 24.726747148352302 60.13842622115213, 24.72224980860733 60.13834892701683))",746455,2203.850964,746455,-502.044522
98,-3248.432722,-0.331917072,-3.248432722,"POLYGON ((24.978635954116434 60.14251105272579, 24.978498242154362 60.1447544217132, 24.982997210498503 60.144823019745964, 24.9831346164818 60.14257964456913, 24.978635954116434 60.14251105272579))",746512,9786.880511,746512,6538.447788
99,-3609.128808,-0.284452337,-3.609128808,"POLYGON ((24.9831346164818 60.14257964456913, 24.982997210498503 60.144823019745964, 24.98749620064742 60.14489146504867, 24.987633300647065 60.142648083696166, 24.9831346164818 60.14257964456913))",746513,12687.9914,746513,9078.862595
100,796.255467,1.395958035,0.796255467,"POLYGON ((25.095608134613418 60.14424480408347, 25.095478379654715 60.14648832952496, 25.099977899172057 60.14655295610703, 25.100107348028832 60.14430942483383, 25.095608134613418 60.14424480408347))",746538,570.400719,746538,1366.656186
101,1238.867238,1.646936661,1.238867238,"POLYGON ((24.636644132607763 60.13909419989563, 24.636483155801567 60.141337057239205, 24.64098063095073 60.14141726543872, 24.64114130213158 60.13917440086032, 24.636644132607763 60.13909419989563))",749136,752.225187,749136,1991.092425
102,-23772.39939,-0.178610366,-23.77239939,"POLYGON ((24.64114130213158 60.13917440086032, 24.64098063095073 60.14141726543872, 24.64547813158827 60.14149732101578, 24.645638497138084 60.13925444921629, 24.64114130213158 60.13917440086032))",749137,133096.415,749137,109324.0156
